Name : Geralyn             . Distance run : 000029.94. Runs : 0001 
Name : Tianna              . Distance run : 000038.62. Runs : 0001 
Name : Charla              . Distance run : 000018.52. Runs : 0001 
Name : Tonita              . Distance run : 000006.12. Runs : 0001 
Name : Jaime               . Distance run : 000080.06. Runs : 0001 
Name : Hyacinth            . Distance run : 000106.48. Runs : 0002 
Name : Earl                . Distance run : 000092.89. Runs : 0001 
Name : Johnathon           . Distance run : 000093.43. Runs : 0001 
Name : Silvana             . Distance run : 000027.29. Runs : 0001 
Name : Ying                . Distance run : 000073.13. Runs : 0001 
Name : Jules               . Distance run : 000058.10. Runs : 0001 
Name : Angie               . Distance run : 000068.90. Runs : 0001 
Name : Zana                . Distance run : 000051.42. Runs : 0001 
Name : Trevor              . Distance run : 000128.41. Runs : 0002 
Name : Tarah               . Distance run : 000095.06. Runs : 0001 
Name : Kevin               . Distance run : 000053.61. Runs : 0002 
Name : Beatris             . Distance run : 000018.03. Runs : 0001 
Name : Mozella             . Distance run : 000144.10. Runs : 0002 
Name : Faith               . Distance run : 000039.82. Runs : 0001 
Name : Jazmin              . Distance run : 000052.21. Runs : 0001 
Name : Sammy               . Distance run : 000088.32. Runs : 0001 
Name : Anjelica            . Distance run : 000027.94. Runs : 0001 
Name : Lajuana             . Distance run : 000099.08. Runs : 0001 
Name : Allen               . Distance run : 000074.51. Runs : 0001 
Name : Troy                . Distance run : 000076.04. Runs : 0001 
Name : Willis              . Distance run : 000031.40. Runs : 0002 
Name : Shela               . Distance run : 000022.49. Runs : 0001 
Name : Marceline           . Distance run : 000035.69. Runs : 0001 
Name : Jule                . Distance run : 000101.43. Runs : 0002 
Name : Delsie              . Distance run : 000009.29. Runs : 0001 
Name : Melodee             . Distance run : 000082.44. Runs : 0001 
Name : Judi                . Distance run : 000007.83. Runs : 0001 
Name : Lenora              . Distance run : 000019.11. Runs : 0001 
Name : Una                 . Distance run : 000007.43. Runs : 0001 
Name : Ligia               . Distance run : 000097.76. Runs : 0001 
Name : Aurelio             . Distance run : 000076.14. Runs : 0001 
Name : Russell             . Distance run : 000025.12. Runs : 0001 
Name : Ela                 . Distance run : 000091.39. Runs : 0001 
Name : Annelle             . Distance run : 000074.96. Runs : 0001 
Name : Kimberly            . Distance run : 000022.52. Runs : 0001 
Name : Ferdinand           . Distance run : 000070.37. Runs : 0001 
Name : Velva               . Distance run : 000039.39. Runs : 0001 
Name : Mendy               . Distance run : 000145.54. Runs : 0002 
Name : Suzann              . Distance run : 000096.49. Runs : 0001 
Name : Minda               . Distance run : 000033.55. Runs : 0001 
Name : Evie                . Distance run : 000095.83. Runs : 0001 
Name : Joella              . Distance run : 000086.95. Runs : 0001 
Name : Ashley              . Distance run : 000096.65. Runs : 0001 
Name : Michele             . Distance run : 000073.48. Runs : 0001 
Name : Andera              . Distance run : 000044.50. Runs : 0001 
Name : Phyliss             . Distance run : 000046.09. Runs : 0001 
Name : Daniele             . Distance run : 000060.03. Runs : 0001 
Name : Merna               . Distance run : 000092.09. Runs : 0001 
Name : Evon                . Distance run : 000089.73. Runs : 0001 
Name : Eboni               . Distance run : 000088.48. Runs : 0001 
Name : Valentina           . Distance run : 000094.75. Runs : 0001 
Name : Pasty               . Distance run : 000010.35. Runs : 0001 
Name : Amiee               . Distance run : 000070.59. Runs : 0001 
Name : Dorris              . Distance run : 000090.00. Runs : 0001 
Name : Fidel               . Distance run : 000084.88. Runs : 0002 
Name : Jackelyn            . Distance run : 000016.55. Runs : 0001 
Name : Lavonna             . Distance run : 000085.51. Runs : 0001 
Name : Barbera             . Distance run : 000067.65. Runs : 0001 
Name : Cinderella          . Distance run : 000030.29. Runs : 0001 
Name : Yaeko               . Distance run : 000031.00. Runs : 0001 
Name : Maire               . Distance run : 000054.62. Runs : 0001 
Name : Marybeth            . Distance run : 000067.97. Runs : 0001 
Name : Leon                . Distance run : 000145.66. Runs : 0002 
Name : Marlena             . Distance run : 000049.04. Runs : 0001 
Name : Bok                 . Distance run : 000094.04. Runs : 0001 
Name : Gregg               . Distance run : 000063.37. Runs : 0001 
Name : Tanisha             . Distance run : 000035.96. Runs : 0001 
Name : Hillary             . Distance run : 000012.64. Runs : 0001 
Name : Kendall             . Distance run : 000086.10. Runs : 0001 
Name : Dorthy              . Distance run : 000055.29. Runs : 0001 
Name : Rosendo             . Distance run : 000059.11. Runs : 0001 
Name : Alejandrina         . Distance run : 000060.38. Runs : 0001 
Name : Jack                . Distance run : 000078.34. Runs : 0001 
Name : Kyle                . Distance run : 000110.56. Runs : 0002 
Name : Gustavo             . Distance run : 000099.00. Runs : 0001 
Name : Samatha             . Distance run : 000059.63. Runs : 0001 
Name : Margit              . Distance run : 000089.23. Runs : 0001 
Name : Alex                . Distance run : 000000.06. Runs : 0001 
Name : Cari                . Distance run : 000099.80. Runs : 0001 
Name : Angelyn             . Distance run : 000066.38. Runs : 0001 
Name : Hipolito            . Distance run : 000099.76. Runs : 0001 
Name : Michaela            . Distance run : 000035.23. Runs : 0001 
Name : Floyd               . Distance run : 000099.20. Runs : 0001 
Name : Minerva             . Distance run : 000028.22. Runs : 0001 
Name : Clarisa             . Distance run : 000005.30. Runs : 0001 
Name : Hien                . Distance run : 000055.65. Runs : 0002 
Name : Celinda             . Distance run : 000043.18. Runs : 0002 
Name : Garfield            . Distance run : 000099.26. Runs : 0001 
Name : Thu                 . Distance run : 000017.22. Runs : 0001 
Name : Willena             . Distance run : 000093.07. Runs : 0001 
Name : Nichol              . Distance run : 000067.97. Runs : 0001 
Name : Hyon                . Distance run : 000023.63. Runs : 0001 
Name : Laquanda            . Distance run : 000093.82. Runs : 0001 
Name : Ailene              . Distance run : 000097.90. Runs : 0002 
Name : Catina              . Distance run : 000010.00. Runs : 0001 
Name : Ariana              . Distance run : 000089.12. Runs : 0002 
Name : Roland              . Distance run : 000099.92. Runs : 0001 
Name : Janean              . Distance run : 000065.06. Runs : 0001 
Name : Charise             . Distance run : 000046.84. Runs : 0001 
Name : Enda                . Distance run : 000013.54. Runs : 0001 
Name : Noble               . Distance run : 000097.12. Runs : 0001 
Name : Asa                 . Distance run : 000063.78. Runs : 0001 
Name : Della               . Distance run : 000029.78. Runs : 0001 
Name : Lincoln             . Distance run : 000031.64. Runs : 0001 
Name : Jannette            . Distance run : 000012.99. Runs : 0001 
Name : Chassidy            . Distance run : 000054.15. Runs : 0001 
Name : Tory                . Distance run : 000006.56. Runs : 0001 
Name : Arletha             . Distance run : 000012.89. Runs : 0001 
Name : Delmy               . Distance run : 000017.92. Runs : 0001 
Name : Caprice             . Distance run : 000091.18. Runs : 0001 
Name : Theressa            . Distance run : 000022.22. Runs : 0001 
Name : Arden               . Distance run : 000098.38. Runs : 0002 
Name : Florentina          . Distance run : 000091.25. Runs : 0002 
Name : Keith               . Distance run : 000096.68. Runs : 0001 
Name : Marnie              . Distance run : 000093.05. Runs : 0001 
Name : Venetta             . Distance run : 000043.36. Runs : 0001 
Name : Todd                . Distance run : 000116.56. Runs : 0002 
Name : Amberly             . Distance run : 000017.55. Runs : 0001 
Name : Hanh                . Distance run : 000007.76. Runs : 0001 
Name : Gabriella           . Distance run : 000085.80. Runs : 0001 
Name : Marvis              . Distance run : 000073.57. Runs : 0001 
Name : Donya               . Distance run : 000048.56. Runs : 0001 
Name : Roseline            . Distance run : 000078.64. Runs : 0001 
Name : Diego               . Distance run : 000061.19. Runs : 0001 
Name : Peggy               . Distance run : 000075.90. Runs : 0001 
Name : Shaniqua            . Distance run : 000066.16. Runs : 0001 
Name : Adah                . Distance run : 000031.50. Runs : 0001 
Name : Elisa               . Distance run : 000023.32. Runs : 0001 
Name : Lavinia             . Distance run : 000045.27. Runs : 0001 
Name : Eve                 . Distance run : 000066.31. Runs : 0001 
Name : Norberto            . Distance run : 000077.00. Runs : 0001 
Name : Justin              . Distance run : 000044.64. Runs : 0001 
Name : Olen                . Distance run : 000014.08. Runs : 0001 
Name : Felix               . Distance run : 000036.85. Runs : 0001 
Name : Jolanda             . Distance run : 000045.81. Runs : 0001 
Name : Maryland            . Distance run : 000086.00. Runs : 0001 
Name : Marjorie            . Distance run : 000060.22. Runs : 0001 
Name : Sharyl              . Distance run : 000036.66. Runs : 0001 
Name : Leida               . Distance run : 000077.84. Runs : 0001 
Name : Joie                . Distance run : 000072.65. Runs : 0001 
Name : Enrique             . Distance run : 000097.41. Runs : 0001 
Name : Jeane               . Distance run : 000051.53. Runs : 0001 
Name : Pearle              . Distance run : 000045.63. Runs : 0001 
Name : Malisa              . Distance run : 000049.29. Runs : 0001 
Name : Rasheeda            . Distance run : 000068.57. Runs : 0001 
Name : Garry               . Distance run : 000095.23. Runs : 0002 
Name : Diann               . Distance run : 000070.60. Runs : 0001 
Name : Cecil               . Distance run : 000024.88. Runs : 0001 
Name : Juanita             . Distance run : 000017.32. Runs : 0001 
Name : Else                . Distance run : 000057.04. Runs : 0001 
Name : Shani               . Distance run : 000017.06. Runs : 0002 
Name : Rufus               . Distance run : 000043.94. Runs : 0001 
Name : Yoko                . Distance run : 000079.76. Runs : 0001 
Name : Delmar              . Distance run : 000068.72. Runs : 0001 
Name : Donita              . Distance run : 000063.21. Runs : 0001 
Name : Angelique           . Distance run : 000075.46. Runs : 0001 
Name : Elayne              . Distance run : 000032.37. Runs : 0001 
Name : Kathleen            . Distance run : 000041.13. Runs : 0001 
Name : Ima                 . Distance run : 000055.86. Runs : 0001 
Name : Audra               . Distance run : 000047.55. Runs : 0001 
Name : Myrna               . Distance run : 000093.28. Runs : 0001 
Name : Annie               . Distance run : 000051.19. Runs : 0001 
Name : Corinna             . Distance run : 000088.26. Runs : 0001 
Name : Marquis             . Distance run : 000059.68. Runs : 0001 
Name : Ronda               . Distance run : 000174.81. Runs : 0003 
Name : Elma                . Distance run : 000015.25. Runs : 0001 
